"","temperature","precipitation","evaporation"
"1",27.2545161290323,1.49516129032258,1.98
"2",27.561935483871,0.862258064516129,1.71
"3",28.5738709677419,0.509677419354839,3.47
"4",29.8109677419355,1.19225806451613,7
"5",29.528064516129,2.70935483870968,11.4
"6",27.6951612903226,1.77645161290323,14.9
"7",26.3851612903226,1.16096774193548,17.3
"8",26.6535483870968,1.33354838709677,17.6
"9",27.0687096774194,1.60516129032258,14.7
"10",27.7848387096774,0.975806451612903,10.6
"11",28.328064516129,1.53161290322581,6.55
"12",28.0874193548387,2.74870967741935,3.37
