"","January","February","March","April","May","June","July","August","September","October","November","December","NA","NA","NA","NA"
"ALFALFA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BARLEY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DRY BEAN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OTHER TUBER CROP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"VEGETABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OATS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CANOLA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CLOVER",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"COTTON",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TOMATO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"GRASS-CLOVER MIX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PERENNIAL GRASS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RAPESEED",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MAIZE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MILLET",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OTHER GRAIN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OTHER LEGUME",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OTHER N-FIXING FORAGE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OTHER NON-N-FIXING FORAGE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RICE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RYE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SORGHUM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SOYBEAN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SPRING WHEAT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"WINTER WHEAT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TREE CROP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
